"Time","Suricata-54887"
2025-06-13 08:24:54,0.103
2025-06-13 08:24:56,0.103
2025-06-13 08:24:58,0.103
2025-06-13 08:25:00,0.103
2025-06-13 08:25:02,0.103
2025-06-13 08:25:04,0.103
2025-06-13 08:25:06,0.103
2025-06-13 08:25:08,0.103
2025-06-13 08:25:10,0.103
2025-06-13 08:25:12,0.103
2025-06-13 08:25:14,0.103
2025-06-13 08:25:16,0.103
2025-06-13 08:25:18,0.103
2025-06-13 08:25:20,0.103
2025-06-13 08:25:22,0.103
2025-06-13 08:25:24,0.103
2025-06-13 08:25:26,0.103
2025-06-13 08:25:28,0.103
2025-06-13 08:25:30,0.103
2025-06-13 08:25:32,0.103
2025-06-13 08:25:34,0.112
2025-06-13 08:25:36,0.117
2025-06-13 08:25:38,0.117
2025-06-13 08:25:40,0.127
2025-06-13 08:25:42,0.128
2025-06-13 08:25:44,0.138
2025-06-13 08:25:46,0.140
2025-06-13 08:25:48,0.140
2025-06-13 08:25:50,0.140
2025-06-13 08:25:52,0.139
2025-06-13 08:25:54,0.139
2025-06-13 08:25:56,0.139
2025-06-13 08:25:58,0.139
2025-06-13 08:26:00,0.140
2025-06-13 08:26:02,0.140
2025-06-13 08:26:04,0.139
2025-06-13 08:26:06,0.140
2025-06-13 08:26:08,0.140
2025-06-13 08:26:10,0.140
2025-06-13 08:26:12,0.140
2025-06-13 08:26:14,0.148
2025-06-13 08:26:16,0.149
2025-06-13 08:26:18,0.155
2025-06-13 08:26:20,0.162
2025-06-13 08:26:22,0.163
2025-06-13 08:26:24,0.172
2025-06-13 08:26:26,0.172
2025-06-13 08:26:28,0.172
2025-06-13 08:26:30,0.172
2025-06-13 08:26:32,0.172
2025-06-13 08:26:34,0.173
2025-06-13 08:26:36,0.172
2025-06-13 08:26:38,0.172
2025-06-13 08:26:40,0.172
2025-06-13 08:26:42,0.172
2025-06-13 08:26:44,0.172
2025-06-13 08:26:46,0.172
2025-06-13 08:26:48,0.173
2025-06-13 08:26:50,0.172
2025-06-13 08:26:52,0.172
2025-06-13 08:26:54,0.172
2025-06-13 08:26:56,0.172
2025-06-13 08:26:58,0.172
2025-06-13 08:27:00,0.179
2025-06-13 08:27:02,0.179
2025-06-13 08:27:04,0.190
2025-06-13 08:27:06,0.194
2025-06-13 08:27:08,0.198
2025-06-13 08:27:10,0.198
2025-06-13 08:27:12,0.212
2025-06-13 08:27:14,0.211
2025-06-13 08:27:16,0.211
2025-06-13 08:27:18,0.212
2025-06-13 08:27:20,0.212
2025-06-13 08:27:22,0.211
2025-06-13 08:27:24,0.212
2025-06-13 08:27:26,0.211
2025-06-13 08:27:28,0.211
2025-06-13 08:27:30,0.212
2025-06-13 08:27:32,0.212
2025-06-13 08:27:34,0.210
2025-06-13 08:27:36,0.211
2025-06-13 08:27:38,0.210
2025-06-13 08:27:40,0.210
2025-06-13 08:27:42,0.210
2025-06-13 08:27:44,0.210
2025-06-13 08:27:46,0.210
2025-06-13 08:27:48,0.210
2025-06-13 08:27:50,0.211
2025-06-13 08:27:52,0.209
2025-06-13 08:27:54,0.203
2025-06-13 08:27:56,0.197
2025-06-13 08:27:58,0.197
